admi,benj,1
G,h,1
ad,be,1
an,bo,1
at,bu,1
ax,by,1
v,w,1
sha,tib,1
U,v,1
in,jo,1
snee,toff,1
y,z,1
end,foe,1
ens,fot,1
r,s,1
b,c,1
k,l,1
d,e,1
N,o,1
O,p,1
H,i,1
snork,topsl,1
edh,fei,1
A,b,1
odd,pee,1
shee,tiff,1
Uds,vet,1
z,a,1
zat,abu,1
azo,bap,1
s,t,1
char,dibs,1
l,m,1
nod,ope,1
Chud,dive,1
e,f,1
W,x,1
mho,nip,1
B,c,1
nee,off,1
ana,bob,1
ann,boo,1
to,up,1
Ana,bob,1
Ann,boo,1
f,g,1
snog,toph,1
snod,tope,1
Sho,tip,1
rox,spy,1
X,y,1
its,jut,1
m,n,1
Q,r,1
zax,aby,1
Y,z,1
J,k,1
C,d,1
Oto,pup,1
Ata,bub,1
dand,eboe,1
anna,boob,1
he,if,1
Ona,pob,1
E,f,1
I,j,1
u,v,1
n,o,1
aha,bib,1
sho,tip,1
g,h,1
ohm,pin,1
oho,pip,1
Ind,joe,1
R,s,1
eh,fi,1
K,l,1
dodd,epee,1
D,e,1
on,po,1
oh,pi,1
st,tu,1
Anne,boof,1
shod,tipe,1
ahint,bijou,1
inks,jolt,1
o,p,1
Atka,bulb,1
h,i,1
eta,fub,1
a,b,1
Z,a,1
S,t,1
L,m,1
ona,pob,1
ons,pot,1
tst,utu,1
anan,bobo,1
cha,dib,1
cho,dip,1
w,x,1
V,w,1
rho,sip,1
i,j,1
P,q,1
Anna,boob,1
ne,of,1
dud,eve,1
sh,ti,1
T,u,1
M,n,1
F,g,1
yn,zo,1
p,q,1
admix,benjy,1
add,bee,1
ton,upo,1
chlor,dimps,1
t,u,1
Odz,pea,1
Ods,pet,1
x,y,1
q,r,1
Ed,fe,1
j,k,1
Aten,bufo,1
c,d,1
wynn,yapp,2
eme,gog,2
G,i,2
Ammi,cook,2
typy,vara,2
ay,ca,2
Rum,two,2
v,x,2
em,go,2
ey,ga,2
asp,cur,2
ask,cum,2
rum,two,2
U,w,2
y,a,2
sic,uke,2
mu,ow,2
r,t,2
b,d,2
k,m,2
d,f,2
um,wo,2
ug,wi,2
N,p,2
eye,gag,2
eyn,gap,2
